Taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies
Allomeiothermus silvanus,Bacteria,Deinococcota,Deinococci,Thermales,Thermaceae,Allomeiothermus,Allomeiothermus silvanus
Lacticaseibacillus saniviri,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus saniviri
Lactobacillus kefiranofaciens,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus kefiranofaciens
Solilutibacter pythonis,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Solilutibacter,Solilutibacter pythonis
Chryseobacterium taklimakanense,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium taklimakanense
Staphylococcus equorum,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus equorum
Streptococcus dysgalactiae,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus dysgalactiae
Alcaligenes phenolicus,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,Alcaligenes phenolicus
Companilactobacillus paralimentarius,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus paralimentarius
Paracidovorax anthurii,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Paracidovorax,Paracidovorax anthurii
Neisseria elongata,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria elongata
Lentilactobacillus otakiensis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus otakiensis
Alcaligenes faecalis,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,Alcaligenes faecalis
Tyrophagus putrescentiae,Bacteria,Arthropoda,Arachnida,Sarcoptiformes,Acaridae,Tyrophagus,Tyrophagus putrescentiae
Companilactobacillus versmoldensis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus versmoldensis
Paracidovorax cattleyae,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Paracidovorax,Paracidovorax cattleyae
Actinobacillus equuli,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,Actinobacillus equuli
Lacticaseibacillus songhuajiangensis,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus songhuajiangensis
Paracidovorax valerianellae,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Paracidovorax,Paracidovorax valerianellae
Solilutibacter silvestris,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Solilutibacter,Solilutibacter silvestris
Brachybacterium faecium,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium faecium
Cognatiluteimonas weifangensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Cognatiluteimonas,Cognatiluteimonas weifangensis
Pararoseomonas indoligenes,Bacteria,Pseudomonadota,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Pararoseomonas,Pararoseomonas indoligenes
Pseudomonas parakoreensis,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas parakoreensis
Limosilactobacillus secaliphilus,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus secaliphilus
Lapidilactobacillus dextrinicus,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lapidilactobacillus,Lapidilactobacillus dextrinicus
Staphylococcus coagulans,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus coagulans
Limosilactobacillus gorillae,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus gorillae
Candidatus Pseudoramibacter fermentans,Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter,Candidatus Pseudoramibacter fermentans
